reaction_id,reaction_name,subsystem,genes,minimum,maximum
HMR_0406,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,171210;12012;171281;217700;171282;70025,0.0,0.0
FE2DMT1,Uptake of food iron by DMT1 transporter,"Transport, extracellular",18174,0.0,1.7337242752546445e-11
RE0578C,Palmitoyl Coenzyme A Hydrolase,Fatty acid synthesis,12012;171281;217700,-1000.0,0.0
FATP6t,Fatty acid electroneutral transport,"Transport, extracellular",26459;26458,0.0,0.0
HMR_0806,Globotriaosylceramide 3-Beta-N-Acetylgalactosaminyltransferase,Glycosphingolipid metabolism,26879,0.0,0.0
HMR_1620,Cholate Coenzyme A Ligase,"Transport, mitochondrial",26459;26458,-1000.0,1000.0
CHOLESACATc_1,Esterification of Cholesterol to Cholesterol Ester,Cholesterol metabolism,223920;20652,0.0,0.0
r2330,Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.2,"Transport, extracellular",24059,-1000.0,0.0
EX_met__L_e,L-Methionine exchange,Exchange/demand reaction,,-100.0,-26.29018277373075
SMOX,Spermine oxidase,Beta-Alanine metabolism,,0.0,0.0
r1639,Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1,"Transport, extracellular",20539,-1000.0,1000.0
r2304,Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.5,"Transport, extracellular",101488,0.0,1000.0
3DHLCAt,3-dehydro-lithocholic acid transport via bicarbonate countertransport,"Transport, extracellular",106407;101488;28253;330962,-1000.0,0.0
ARACHCPT2,Carnitine transferase,Fatty acid oxidation,12896,-9.208633855450898e-12,0.0
HACD4m,3-hydroxyacyl-CoA dehydrogenase (C10:0),Fatty acid oxidation,74147;97212;15107,-1.2462919585232157e-11,0.0
HMR_0431,HMR 0431,"Transport, extracellular",11303,0.0,1.2236573637340987e-12
EX_ca2_e,name,Exchange/demand reaction,,-100.0,0.0
FAOXC141C121m,"Fatty Acid Beta Oxidation (C14:1->C12:1), Mitochondrial",Fatty acid oxidation,11370;97212;231086,0.0,3.092281986027956e-12
EX_ala__D_e,D-Alanine exchange,Exchange/demand reaction,,-100.0,100.0
r1943,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
PCHOL2LINL_HSt1e,"Transport of 2-Linoleoylglycerophosphocholine, Vescicular","Transport, extracellular",,0.0,1.299278145389897e-12
HMGLx,Hydroxymethylglutaryl-CoA lyase,Cholesterol metabolism,15356,0.0,1.4779288903810084e-12
EX_glc__D_e,D-Glucose exchange,Exchange/demand reaction,,99.99999999998454,100.0
r1968,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
r2384,Mitochondrial Carrier (MC) TCDB:2.A.29.7.2,"Transport, mitochondrial",13358,0.0,4.661160346586257e-12
r1551,Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1,"Transport, extracellular",20539,-1000.0,1000.0
IPDPtx,Isopentenyl diphosphate transport (peroxisome),"Transport, peroxisomal",,0.0,0.0
GALt4,Galactose transport via sodium symport,"Transport, extracellular",109342;246787;230612,-1000.0,1000.0
EX_lcts_e,Lactose exchange,Exchange/demand reaction,,0.0,0.0
EX_cgly_e,Cys-Gly exchange,Exchange/demand reaction,,-100.0,-99.99999999998931
r1788,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
r1785,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
